Instance ID,Source Image Filename,Vertices,Timestamp,Type
15,GND.png,"[[[451, 1522], [450, 1520], [450, 1517], [448, 1515], [447, 1513], [445, 1511], [442, 1510], [440, 1510], [437, 1509], [435, 1510], [433, 1510], [430, 1511], [428, 1513], [427, 1515], [425, 1517], [425, 1520], [424, 1522], [425, 1525], [425, 1527], [427, 1530], [428, 1531], [430, 1533], [433, 1534], [435, 1535], [437, 1535], [440, 1535], [442, 1534], [445, 1533], [447, 1531], [448, 1530], [450, 1527], [450, 1525], [451, 1522]]]",04/16/2026 15:55,via
16,GND.png,"[[[1299, 893], [1299, 891], [1298, 890], [1297, 888], [1296, 887], [1295, 885], [1293, 884], [1291, 884], [1289, 884], [1288, 884], [1286, 884], [1284, 885], [1283, 887], [1282, 888], [1281, 890], [1280, 891], [1280, 893], [1280, 895], [1281, 897], [1282, 898], [1283, 900], [1284, 901], [1286, 902], [1288, 902], [1289, 903], [1291, 902], [1293, 902], [1295, 901], [1296, 900], [1297, 898], [1298, 897], [1299, 895], [1299, 893]]]",04/16/2026 15:55,via
17,GND.png,"[[[374, 1522], [374, 1520], [373, 1517], [372, 1515], [370, 1513], [368, 1511], [366, 1510], [363, 1510], [361, 1509], [358, 1510], [356, 1510], [353, 1511], [351, 1513], [350, 1515], [349, 1517], [348, 1520], [348, 1522], [348, 1525], [349, 1527], [350, 1530], [351, 1531], [353, 1533], [356, 1534], [358, 1535], [361, 1535], [363, 1535], [366, 1534], [368, 1533], [370, 1531], [372, 1530], [373, 1527], [374, 1525], [374, 1522]]]",04/16/2026 15:55,via
18,GND.png,"[[[1336, 2316], [1336, 2313], [1335, 2311], [1334, 2309], [1332, 2308], [1331, 2306], [1329, 2305], [1327, 2304], [1324, 2304], [1322, 2304], [1320, 2305], [1318, 2306], [1316, 2308], [1315, 2309], [1314, 2311], [1313, 2313], [1313, 2316], [1313, 2318], [1314, 2320], [1315, 2322], [1316, 2324], [1318, 2325], [1320, 2326], [1322, 2327], [1324, 2327], [1327, 2327], [1329, 2326], [1331, 2325], [1332, 2324], [1334, 2322], [1335, 2320], [1336, 2318], [1336, 2316]]]",04/16/2026 15:55,via
19,GND.png,"[[[1512, 2388], [1512, 2386], [1512, 2384], [1511, 2382], [1509, 2380], [1507, 2379], [1505, 2377], [1503, 2377], [1501, 2377], [1499, 2377], [1497, 2377], [1495, 2379], [1493, 2380], [1491, 2382], [1490, 2384], [1490, 2386], [1489, 2388], [1490, 2390], [1490, 2392], [1491, 2394], [1493, 2396], [1495, 2398], [1497, 2399], [1499, 2399], [1501, 2400], [1503, 2399], [1505, 2399], [1507, 2398], [1509, 2396], [1511, 2394], [1512, 2392], [1512, 2390], [1512, 2388]]]",04/16/2026 15:55,via
20,GND.png,"[[[279, 694], [279, 692], [278, 689], [277, 687], [275, 685], [273, 684], [271, 682], [268, 682], [266, 681], [263, 682], [261, 682], [259, 684], [257, 685], [255, 687], [254, 689], [253, 692], [253, 694], [253, 697], [254, 699], [255, 702], [257, 704], [259, 705], [261, 706], [263, 707], [266, 707], [268, 707], [271, 706], [273, 705], [275, 704], [277, 702], [278, 699], [279, 697], [279, 694]]]",04/16/2026 15:55,via
21,GND.png,"[[[505, 402], [504, 400], [504, 397], [502, 395], [501, 393], [499, 391], [496, 390], [494, 389], [491, 389], [488, 389], [486, 390], [483, 391], [481, 393], [480, 395], [478, 397], [478, 400], [477, 402], [478, 405], [478, 407], [480, 410], [481, 412], [483, 414], [486, 415], [488, 416], [491, 416], [494, 416], [496, 415], [499, 414], [501, 412], [502, 410], [504, 407], [504, 405], [505, 402]]]",04/16/2026 15:55,via
22,GND.png,"[[[351, 402], [351, 400], [350, 397], [349, 395], [347, 393], [345, 391], [343, 390], [340, 389], [337, 389], [335, 389], [332, 390], [330, 391], [328, 393], [326, 395], [325, 397], [324, 400], [324, 402], [324, 405], [325, 407], [326, 410], [328, 412], [330, 414], [332, 415], [335, 416], [337, 416], [340, 416], [343, 415], [345, 414], [347, 412], [349, 410], [350, 407], [351, 405], [351, 402]]]",04/16/2026 15:55,via
23,GND.png,"[[[906, 402], [906, 400], [905, 397], [903, 395], [902, 393], [900, 391], [897, 390], [895, 389], [892, 389], [889, 389], [887, 390], [885, 391], [882, 393], [881, 395], [880, 397], [879, 400], [878, 402], [879, 405], [880, 407], [881, 410], [882, 412], [885, 414], [887, 415], [889, 416], [892, 416], [895, 416], [897, 415], [900, 414], [902, 412], [903, 410], [905, 407], [906, 405], [906, 402]]]",04/16/2026 15:55,via
24,GND.png,"[[[752, 402], [752, 400], [751, 397], [750, 395], [748, 393], [746, 391], [744, 390], [741, 389], [739, 389], [736, 389], [733, 390], [731, 391], [729, 393], [727, 395], [726, 397], [725, 400], [725, 402], [725, 405], [726, 407], [727, 410], [729, 412], [731, 414], [733, 415], [736, 416], [739, 416], [741, 416], [744, 415], [746, 414], [748, 412], [750, 410], [751, 407], [752, 405], [752, 402]]]",04/16/2026 15:55,via
25,GND.png,"[[[1583, 2388], [1583, 2386], [1582, 2384], [1581, 2382], [1580, 2380], [1578, 2379], [1576, 2377], [1574, 2377], [1572, 2377], [1569, 2377], [1567, 2377], [1565, 2379], [1563, 2380], [1562, 2382], [1561, 2384], [1560, 2386], [1560, 2388], [1560, 2390], [1561, 2392], [1562, 2394], [1563, 2396], [1565, 2398], [1567, 2399], [1569, 2399], [1572, 2400], [1574, 2399], [1576, 2399], [1578, 2398], [1580, 2396], [1581, 2394], [1582, 2392], [1583, 2390], [1583, 2388]]]",04/16/2026 15:55,via
26,GND.png,"[[[1724, 2388], [1724, 2386], [1724, 2384], [1722, 2382], [1721, 2380], [1719, 2379], [1717, 2377], [1715, 2377], [1713, 2377], [1711, 2377], [1709, 2377], [1707, 2379], [1705, 2380], [1703, 2382], [1702, 2384], [1702, 2386], [1701, 2388], [1702, 2390], [1702, 2392], [1703, 2394], [1705, 2396], [1707, 2398], [1709, 2399], [1711, 2399], [1713, 2400], [1715, 2399], [1717, 2399], [1719, 2398], [1721, 2396], [1722, 2394], [1724, 2392], [1724, 2390], [1724, 2388]]]",04/16/2026 15:55,via
27,GND.png,"[[[1830, 2316], [1830, 2313], [1830, 2311], [1828, 2309], [1827, 2308], [1825, 2306], [1823, 2305], [1821, 2304], [1819, 2304], [1817, 2304], [1814, 2305], [1813, 2306], [1811, 2308], [1809, 2309], [1808, 2311], [1808, 2313], [1807, 2316], [1808, 2318], [1808, 2320], [1809, 2322], [1811, 2324], [1813, 2325], [1814, 2326], [1817, 2327], [1819, 2327], [1821, 2327], [1823, 2326], [1825, 2325], [1827, 2324], [1828, 2322], [1830, 2320], [1830, 2318], [1830, 2316]]]",04/16/2026 15:55,via
28,GND.png,"[[[1234, 893], [1234, 891], [1233, 890], [1232, 888], [1231, 887], [1230, 885], [1228, 884], [1226, 884], [1224, 884], [1223, 884], [1221, 884], [1219, 885], [1218, 887], [1217, 888], [1216, 890], [1215, 891], [1215, 893], [1215, 895], [1216, 897], [1217, 898], [1218, 900], [1219, 901], [1221, 902], [1223, 902], [1224, 903], [1226, 902], [1228, 902], [1230, 901], [1231, 900], [1232, 898], [1233, 897], [1234, 895], [1234, 893]]]",04/16/2026 15:55,via
29,GND.png,"[[[1266, 893], [1266, 891], [1266, 890], [1265, 888], [1264, 887], [1262, 885], [1261, 884], [1259, 884], [1257, 884], [1255, 884], [1253, 884], [1252, 885], [1250, 887], [1249, 888], [1248, 890], [1248, 891], [1247, 893], [1248, 895], [1248, 897], [1249, 898], [1250, 900], [1252, 901], [1253, 902], [1255, 902], [1257, 903], [1259, 902], [1261, 902], [1262, 901], [1264, 900], [1265, 898], [1266, 897], [1266, 895], [1266, 893]]]",04/16/2026 15:55,via
30,GND.png,"[[[1169, 893], [1169, 891], [1168, 890], [1167, 888], [1166, 887], [1165, 885], [1163, 884], [1161, 884], [1159, 884], [1158, 884], [1156, 884], [1154, 885], [1153, 887], [1152, 888], [1151, 890], [1150, 891], [1150, 893], [1150, 895], [1151, 897], [1152, 898], [1153, 900], [1154, 901], [1156, 902], [1158, 902], [1159, 903], [1161, 902], [1163, 902], [1165, 901], [1166, 900], [1167, 898], [1168, 897], [1169, 895], [1169, 893]]]",04/16/2026 15:55,via
31,GND.png,"[[[1901, 2316], [1901, 2313], [1900, 2311], [1899, 2309], [1898, 2308], [1896, 2306], [1894, 2305], [1892, 2304], [1890, 2304], [1887, 2304], [1885, 2305], [1883, 2306], [1881, 2308], [1880, 2309], [1879, 2311], [1878, 2313], [1878, 2316], [1878, 2318], [1879, 2320], [1880, 2322], [1881, 2324], [1883, 2325], [1885, 2326], [1887, 2327], [1890, 2327], [1892, 2327], [1894, 2326], [1896, 2325], [1898, 2324], [1899, 2322], [1900, 2320], [1901, 2318], [1901, 2316]]]",04/16/2026 15:55,via
32,GND.png,"[[[1936, 2388], [1936, 2386], [1936, 2384], [1934, 2382], [1933, 2380], [1931, 2379], [1929, 2377], [1927, 2377], [1925, 2377], [1923, 2377], [1920, 2377], [1918, 2379], [1917, 2380], [1915, 2382], [1914, 2384], [1914, 2386], [1913, 2388], [1914, 2390], [1914, 2392], [1915, 2394], [1917, 2396], [1918, 2398], [1920, 2399], [1923, 2399], [1925, 2400], [1927, 2399], [1929, 2399], [1931, 2398], [1933, 2396], [1934, 2394], [1936, 2392], [1936, 2390], [1936, 2388]]]",04/16/2026 15:55,via
33,GND.png,"[[[374, 1446], [374, 1443], [373, 1441], [372, 1439], [370, 1437], [368, 1435], [366, 1434], [363, 1433], [361, 1433], [358, 1433], [356, 1434], [353, 1435], [351, 1437], [350, 1439], [349, 1441], [348, 1443], [348, 1446], [348, 1448], [349, 1451], [350, 1453], [351, 1455], [353, 1457], [356, 1458], [358, 1459], [361, 1459], [363, 1459], [366, 1458], [368, 1457], [370, 1455], [372, 1453], [373, 1451], [374, 1448], [374, 1446]]]",04/16/2026 15:55,via
34,GND.png,"[[[451, 1446], [450, 1443], [450, 1441], [448, 1439], [447, 1437], [445, 1435], [442, 1434], [440, 1433], [437, 1433], [435, 1433], [433, 1434], [430, 1435], [428, 1437], [427, 1439], [425, 1441], [425, 1443], [424, 1446], [425, 1448], [425, 1451], [427, 1453], [428, 1455], [430, 1457], [433, 1458], [435, 1459], [437, 1459], [440, 1459], [442, 1458], [445, 1457], [447, 1455], [448, 1453], [450, 1451], [450, 1448], [451, 1446]]]",04/16/2026 15:55,via
35,GND.png,"[[[281, 1577], [280, 1571], [279, 1565], [276, 1560], [272, 1555], [267, 1552], [262, 1549], [256, 1547], [250, 1546], [244, 1547], [238, 1549], [233, 1552], [228, 1555], [224, 1560], [222, 1565], [220, 1571], [219, 1577], [220, 1583], [222, 1589], [224, 1594], [228, 1599], [233, 1603], [238, 1606], [244, 1607], [250, 1608], [256, 1607], [262, 1606], [267, 1603], [272, 1599], [276, 1594], [279, 1589], [280, 1583], [281, 1577]]]",04/16/2026 15:55,via
36,GND.png,"[[[281, 1391], [280, 1385], [279, 1379], [276, 1374], [272, 1369], [267, 1365], [262, 1363], [256, 1361], [250, 1360], [244, 1361], [238, 1363], [233, 1365], [228, 1369], [224, 1374], [222, 1379], [220, 1385], [219, 1391], [220, 1397], [222, 1403], [224, 1408], [228, 1413], [233, 1417], [238, 1419], [244, 1421], [250, 1422], [256, 1421], [262, 1419], [267, 1417], [272, 1413], [276, 1408], [279, 1403], [280, 1397], [281, 1391]]]",04/16/2026 15:55,via
37,GND.png,"[[[1201, 893], [1201, 891], [1201, 890], [1200, 888], [1199, 887], [1197, 885], [1196, 884], [1194, 884], [1192, 884], [1190, 884], [1188, 884], [1187, 885], [1185, 887], [1184, 888], [1183, 890], [1183, 891], [1182, 893], [1183, 895], [1183, 897], [1184, 898], [1185, 900], [1187, 901], [1188, 902], [1190, 902], [1192, 903], [1194, 902], [1196, 902], [1197, 901], [1199, 900], [1200, 898], [1201, 897], [1201, 895], [1201, 893]]]",04/16/2026 15:55,via
38,GND.png,"[[[1201, 926], [1201, 924], [1201, 922], [1200, 920], [1199, 919], [1197, 918], [1196, 917], [1194, 916], [1192, 916], [1190, 916], [1188, 917], [1187, 918], [1185, 919], [1184, 920], [1183, 922], [1183, 924], [1182, 926], [1183, 927], [1183, 929], [1184, 931], [1185, 932], [1187, 933], [1188, 934], [1190, 935], [1192, 935], [1194, 935], [1196, 934], [1197, 933], [1199, 932], [1200, 931], [1201, 929], [1201, 927], [1201, 926]]]",04/16/2026 15:55,via
39,GND.png,"[[[1299, 926], [1299, 924], [1298, 922], [1297, 920], [1296, 919], [1295, 918], [1293, 917], [1291, 916], [1289, 916], [1288, 916], [1286, 917], [1284, 918], [1283, 919], [1282, 920], [1281, 922], [1280, 924], [1280, 926], [1280, 927], [1281, 929], [1282, 931], [1283, 932], [1284, 933], [1286, 934], [1288, 935], [1289, 935], [1291, 935], [1293, 934], [1295, 933], [1296, 932], [1297, 931], [1298, 929], [1299, 927], [1299, 926]]]",04/16/2026 15:55,via
40,GND.png,"[[[1169, 926], [1169, 924], [1168, 922], [1167, 920], [1166, 919], [1165, 918], [1163, 917], [1161, 916], [1159, 916], [1158, 916], [1156, 917], [1154, 918], [1153, 919], [1152, 920], [1151, 922], [1150, 924], [1150, 926], [1150, 927], [1151, 929], [1152, 931], [1153, 932], [1154, 933], [1156, 934], [1158, 935], [1159, 935], [1161, 935], [1163, 934], [1165, 933], [1166, 932], [1167, 931], [1168, 929], [1169, 927], [1169, 926]]]",04/16/2026 15:55,via
41,GND.png,"[[[1234, 926], [1234, 924], [1233, 922], [1232, 920], [1231, 919], [1230, 918], [1228, 917], [1226, 916], [1224, 916], [1223, 916], [1221, 917], [1219, 918], [1218, 919], [1217, 920], [1216, 922], [1215, 924], [1215, 926], [1215, 927], [1216, 929], [1217, 931], [1218, 932], [1219, 933], [1221, 934], [1223, 935], [1224, 935], [1226, 935], [1228, 934], [1230, 933], [1231, 932], [1232, 931], [1233, 929], [1234, 927], [1234, 926]]]",04/16/2026 15:55,via
42,GND.png,"[[[1266, 926], [1266, 924], [1266, 922], [1265, 920], [1264, 919], [1262, 918], [1261, 917], [1259, 916], [1257, 916], [1255, 916], [1253, 917], [1252, 918], [1250, 919], [1249, 920], [1248, 922], [1248, 924], [1247, 926], [1248, 927], [1248, 929], [1249, 931], [1250, 932], [1252, 933], [1253, 934], [1255, 935], [1257, 935], [1259, 935], [1261, 934], [1262, 933], [1264, 932], [1265, 931], [1266, 929], [1266, 927], [1266, 926]]]",04/16/2026 15:55,via
43,GND.png,"[[[1686, 2006], [1686, 2004], [1685, 2002], [1684, 2000], [1683, 1998], [1681, 1996], [1679, 1995], [1677, 1995], [1674, 1994], [1672, 1995], [1670, 1995], [1668, 1996], [1666, 1998], [1665, 2000], [1664, 2002], [1663, 2004], [1663, 2006], [1663, 2008], [1664, 2010], [1665, 2012], [1666, 2014], [1668, 2015], [1670, 2017], [1672, 2017], [1674, 2017], [1677, 2017], [1679, 2017], [1681, 2015], [1683, 2014], [1684, 2012], [1685, 2010], [1686, 2008], [1686, 2006]]]",04/16/2026 15:55,via
44,GND.png,"[[[1609, 2006], [1609, 2004], [1608, 2002], [1607, 2000], [1606, 1998], [1604, 1996], [1602, 1995], [1600, 1995], [1598, 1994], [1595, 1995], [1593, 1995], [1591, 1996], [1589, 1998], [1588, 2000], [1587, 2002], [1586, 2004], [1586, 2006], [1586, 2008], [1587, 2010], [1588, 2012], [1589, 2014], [1591, 2015], [1593, 2017], [1595, 2017], [1598, 2017], [1600, 2017], [1602, 2017], [1604, 2015], [1606, 2014], [1607, 2012], [1608, 2010], [1609, 2008], [1609, 2006]]]",04/16/2026 15:55,via
45,GND.png,"[[[1461, 2006], [1461, 2004], [1460, 2002], [1459, 2000], [1458, 1998], [1456, 1996], [1454, 1995], [1452, 1995], [1449, 1994], [1447, 1995], [1445, 1995], [1443, 1996], [1441, 1998], [1440, 2000], [1439, 2002], [1438, 2004], [1438, 2006], [1438, 2008], [1439, 2010], [1440, 2012], [1441, 2014], [1443, 2015], [1445, 2017], [1447, 2017], [1449, 2017], [1452, 2017], [1454, 2017], [1456, 2015], [1458, 2014], [1459, 2012], [1460, 2010], [1461, 2008], [1461, 2006]]]",04/16/2026 15:55,via
46,GND.png,"[[[1384, 2006], [1384, 2004], [1383, 2002], [1382, 2000], [1381, 1998], [1379, 1996], [1377, 1995], [1375, 1995], [1373, 1994], [1370, 1995], [1368, 1995], [1366, 1996], [1364, 1998], [1363, 2000], [1362, 2002], [1361, 2004], [1361, 2006], [1361, 2008], [1362, 2010], [1363, 2012], [1364, 2014], [1366, 2015], [1368, 2017], [1370, 2017], [1373, 2017], [1375, 2017], [1377, 2017], [1379, 2015], [1381, 2014], [1382, 2012], [1383, 2010], [1384, 2008], [1384, 2006]]]",04/16/2026 15:55,via
47,GND.png,"[[[1866, 2388], [1866, 2386], [1865, 2384], [1864, 2382], [1862, 2380], [1861, 2379], [1859, 2377], [1856, 2377], [1854, 2377], [1852, 2377], [1850, 2377], [1848, 2379], [1846, 2380], [1845, 2382], [1844, 2384], [1843, 2386], [1843, 2388], [1843, 2390], [1844, 2392], [1845, 2394], [1846, 2396], [1848, 2398], [1850, 2399], [1852, 2399], [1854, 2400], [1856, 2399], [1859, 2399], [1861, 2398], [1862, 2396], [1864, 2394], [1865, 2392], [1866, 2390], [1866, 2388]]]",04/16/2026 15:55,via
48,GND.png,"[[[1018, 2388], [1018, 2386], [1017, 2384], [1016, 2382], [1015, 2380], [1013, 2379], [1011, 2377], [1009, 2377], [1006, 2377], [1004, 2377], [1002, 2377], [1000, 2379], [998, 2380], [997, 2382], [996, 2384], [995, 2386], [995, 2388], [995, 2390], [996, 2392], [997, 2394], [998, 2396], [1000, 2398], [1002, 2399], [1004, 2399], [1006, 2400], [1009, 2399], [1011, 2399], [1013, 2398], [1015, 2396], [1016, 2394], [1017, 2392], [1018, 2390], [1018, 2388]]]",04/16/2026 15:55,via
49,GND.png,"[[[1230, 2388], [1230, 2386], [1229, 2384], [1228, 2382], [1226, 2380], [1225, 2379], [1223, 2377], [1221, 2377], [1218, 2377], [1216, 2377], [1214, 2377], [1212, 2379], [1210, 2380], [1209, 2382], [1208, 2384], [1207, 2386], [1207, 2388], [1207, 2390], [1208, 2392], [1209, 2394], [1210, 2396], [1212, 2398], [1214, 2399], [1216, 2399], [1218, 2400], [1221, 2399], [1223, 2399], [1225, 2398], [1226, 2396], [1228, 2394], [1229, 2392], [1230, 2390], [1230, 2388]]]",04/16/2026 15:55,via
50,GND.png,"[[[1654, 2388], [1654, 2386], [1653, 2384], [1652, 2382], [1650, 2380], [1649, 2379], [1647, 2377], [1645, 2377], [1642, 2377], [1640, 2377], [1638, 2377], [1636, 2379], [1634, 2380], [1633, 2382], [1632, 2384], [1631, 2386], [1631, 2388], [1631, 2390], [1632, 2392], [1633, 2394], [1634, 2396], [1636, 2398], [1638, 2399], [1640, 2399], [1642, 2400], [1645, 2399], [1647, 2399], [1649, 2398], [1650, 2396], [1652, 2394], [1653, 2392], [1654, 2390], [1654, 2388]]]",04/16/2026 15:55,via
